first	second	third	probs
is	experienced	in	0.200000000
power	may	have	0.230769231
my	nature	but	0.054545455
race	regardless	of	0.666666667
night	vacation	package	0.500000000
insurance	claims	have	0.058823529
doctors	the	ones	0.095238095
maybe	next	week	0.141891892
your	presentation	at	0.089108911
power	who	went	0.120000000
same	day	as	0.100765306
position	during	the	0.333333333
were	fabulous	as	0.100000000
ages	are	welcome	0.130434783
blake	looks	like	0.600000000
face	each	day	0.120000000
chance	yet	to	0.833333333
schedule	coming	up	0.300000000
definitely	for	a	0.111111111
and	calories	than	0.048780488
and	dogs	to	0.019607843
because	other	teams	0.071428571
services	team	will	0.222222222
received	prior	to	0.800000000
its	powers	under	0.160000000
nights	out	at	0.090909091
martin	returned	to	0.666666667
without	henry	the	0.666666667
season	saturday	against	0.200000000
be	reading	the	0.057692308
creating	such	an	0.238095238
what	childhood	truly	0.666666667
fraud	that	would	0.076923077
is	model	for	0.500000000
her	ongoing	efforts	0.222222222
for	being	the	0.052076242
did	send	his	0.111111111
important	life	skills	0.125000000
add	two	new	0.069767442
NA	pattern	is	0.042395955
didnt	offer	any	0.080000000
previously	described	the	0.285714286
been	times	when	0.500000000
problthem	should	we	0.272727273
blue	if	i	0.333333333
to	how	much	0.067796610
those	important	people	0.200000000
husband	would	be	0.186440678
staying	awake	all	0.076923077
lady	but	think	0.071428571
taking	control	is	0.040816327
denver	police	department	0.138888889
her	closer	to	0.200000000
then	suggested	we	0.153846154
mental	strength	to	0.166666667
what	marriage	was	0.272727273
fruit	from	a	0.057692308
diet	or	exercise	0.314285714
suit	is	not	0.050000000
of	leg	pain	0.263157895
today	show	and	0.053333333
questions	or	concerns	0.090225564
proposed	law	would	0.076923077
playing	elizabeth	taylor	1.000000000
but	intended	to	1.000000000
noise	in	our	0.027027027
received	these	funds	0.142857143
worked	last	time	0.250000000
range	there	is	1.000000000
fewer	earned	runs	1.000000000
paid	part	time	0.666666667
finally	you	have	0.119047619
talk	slowly	and	1.000000000
me	thank	god	0.136363636
was	apart	of	0.714285714
whats	red	and	1.000000000
clothes	when	i	0.227272727
on	purpose	to	0.052486188
few	special	guests	0.133333333
us	working	in	0.150000000
business	environment	is	0.125000000
updated	last	week	0.285714286
get	change	to	0.400000000
what	only	god	0.235294118
moving	is	a	0.243243243
largest	personal	injury	0.500000000
time	everyone	is	0.130434783
published	two	years	0.157894737
avenue	according	to	1.000000000
as	player	development	0.181818182
sister	decided	she	0.400000000
blame	their	parents	0.142857143
computer	hard	drive	0.416666667
hope	solo	is	0.130434783
character	based	on	0.555555556
time	buying	the	0.200000000
NA	tender	but	0.030710173
smooth	out	the	0.292682927
me	drunk	and	0.142857143
browns	would	be	0.121212121
perspective	in	one	0.076923077
i	run	into	0.121718377
over	thanksgiving	i	0.133333333
someone	waiting	for	0.400000000
father	former	michigan	0.222222222
his	direct	boss	0.111111111
again	so	it	0.065116279
their	music	and	0.053872054
my	die	cuts	0.250000000
little	when	i	0.260273973
sethem	good	enough	0.181818182
note	just	how	0.222222222
both	shots	she	0.500000000
really	realized	that	0.250000000
others	of	us	0.089887640
be	equal	to	0.410256410
national	coach	of	0.750000000
twice	more	this	0.100000000
ultimately	this	is	0.322580645
why	get	hung	0.095238095
groups	before	the	0.400000000
to	helping	the	0.096969697
ok	love	you	0.142857143
aw	im	sorry	0.513513514
damn	sure	that	0.074074074
fail	the	second	0.032258065
the	lakers	and	0.033145275
are	awesome	but	0.017857143
novel	filled	with	1.000000000
fan	even	if	0.166666667
decade	through	the	0.285714286
gop	plan	would	0.150000000
been	will	be	1.000000000
road	construction	projects	0.068965517
visiting	my	parents	0.060810811
shape	so	when	0.142857143
anywhere	you	want	0.217391304
NA	japan	and	0.095680258
to	red	hot	0.037593985
talked	to	the	0.087972509
mthemories	to	be	0.069767442
elected	head	of	1.000000000
next	seven	months	0.152542373
at	additional	cost	0.285714286
thats	very	important	0.060240964
cake	in	the	0.333333333
roads	on	the	0.368421053
told	head	coach	1.000000000
equally	rather	than	0.666666667
site	to	be	0.058020478
this	update	is	0.115384615
media	before	the	0.142857143
will	split	his	0.060606061
said	hell	yeah	0.166666667
agents	were	out	0.035087719
breakfast	is	a	0.063636364
ground	last	saturday	0.200000000
will	target	the	0.222222222
exhibit	the	museum	0.107142857
NA	lift	the	0.126423690
design	their	own	0.300000000
college	with	my	0.046511628
at	peoples	health	0.105263158
community	centers	and	0.209302326
n	heavy	metal	0.400000000
account	income	after	1.000000000
corn	bread	mix	0.055555556
and	deputy	director	0.104166667
results	were	released	0.041095890
and	projects	and	0.070000000
revealed	itself	to	0.444444444
who	took	the	0.182344428
selected	from	the	0.180555556
from	store	to	0.450000000
write	for	ththem	0.039711191
delicious	you	wont	0.250000000
these	payments	can	0.222222222
main	points	of	0.291666667
charity	project	and	0.500000000
urban	bear	fair	1.000000000
she	lose	her	0.444444444
from	susan	at	0.200000000
good	fucking	night	0.166666667
senate	last	week	0.142857143
bank	trust	which	0.285714286
record	so	we	0.066666667
or	thoughts	are	0.090909091
possible	that	i	0.072463768
tears	that	he	0.058823529
gotten	anything	from	0.142857143
blow	from	the	0.250000000
home	being	a	0.130434783
called	be	the	0.333333333
she	fed	me	0.285714286
officials	decided	on	0.068965517
or	gift	cards	0.107142857
fruit	per	serving	0.333333333
financial	pressure	to	0.222222222
mark	off	the	0.375000000
extended	playing	time	0.750000000
facts	and	figures	0.160173160
morning	person	who	0.024096386
he	it	is	0.461538462
woman	drove	her	0.375000000
dont	stop	tweeting	0.050000000
should	again	be	0.800000000
girl	falls	asleep	0.333333333
yeah	or	the	0.157894737
healthy	he	is	0.111111111
were	because	he	0.157894737
candidates	talk	about	0.500000000
see	exactly	what	0.469387755
ray	knew	the	0.666666667
other	cities	and	0.064846416
NA	required	by	0.052559325
gas	price	increases	0.095238095
playing	close	to	0.571428571
on	too	many	0.096045198
move	people	to	0.100000000
eat	him	if	0.086956522
some	interviews	with	0.176470588
about	anything	else	0.062500000
my	morning	routine	0.038277512
someone	said	that	0.086330935
she	closed	the	0.171428571
other	liberal	arts	0.230769231
everyone	associated	with	1.000000000
ththem	there	is	0.061946903
many	attacks	from	0.333333333
tour	for	a	0.058823529
rolled	their	eyes	0.600000000
sessions	with	my	0.049382716
cause	such	a	0.333333333
decide	which	of	0.063241107
had	died	in	0.145907473
NA	sky	and	0.069169960
actually	seen	it	0.060000000
hadnt	talked	to	0.538461538
great	especially	the	0.173913043
milk	from	the	0.213114754
mostly	words	for	1.000000000
never	just	about	0.057142857
original	works	by	0.125000000
board	mthember	and	0.064668770
watch	instead	of	0.500000000
stock	options	that	0.065573770
always	held	the	0.187500000
actually	save	my	0.166666667
their	total	operating	0.044444444
long	though	the	0.105263158
never	doubt	your	0.102040816
and	stops	right	0.075471698
and	designs	of	0.055555556
eat	one	of	0.160714286
asked	me	to	0.304604486
stop	now	i	0.021276596
entire	film	is	0.142857143
billion	from	last	0.026595745
for	usa	and	0.088235294
these	programs	have	0.034883721
met	great	folks	0.250000000
legislature	passes	a	0.500000000
week	to	get	0.045487894
punk	vs	chris	0.333333333
york	says	shes	0.285714286
thoughts	please	themail	0.285714286
jobs	coming	to	0.750000000
green	initiative	for	0.285714286
hear	who	theyre	0.133333333
links	provided	in	0.400000000
were	working	with	0.065040650
moves	for	the	0.205882353
company	co	founder	0.285714286
statthement	tuesday	the	0.043478261
hits	and	two	0.119741100
topic	because	of	0.428571429
back	just	in	0.100000000
gun	between	his	0.666666667
laugh	after	laugh	0.285714286
tweet	did	you	0.375000000
making	photo	books	0.500000000
jersey	will	also	0.050632911
all	falls	down	0.500000000
festival	when	it	0.250000000
getting	tweets	from	0.250000000
whole	morning	full	0.117647059
i	pop	a	0.162162162
people	doubt	my	0.333333333
off	ththem	in	0.047619048
project	about	our	0.083333333
will	counter	with	0.714285714
study	group	meets	0.039215686
self	sacrifice	and	0.085714286
auto	repair	shops	0.105263158
that	covers	a	0.046153846
friends	buy	it	0.285714286
be	extra	nice	0.053333333
possible	for	a	0.072052402
why	its	so	0.152694611
manner	through	the	0.666666667
children	lives	in	0.750000000
hotel	are	you	0.294117647
home	visits	to	0.190476190
for	smith	said	0.096774194
we	place	on	0.125000000
stop	seeing	it	0.130434783
document	from	the	0.285714286
youve	turned	into	0.200000000
quit	in	protest	0.096774194
only	kind	of	0.837837838
and	babies	and	0.084745763
defense	in	the	0.343195266
kids	last	night	0.307692308
cleveland	the	first	0.026666667
card	ive	used	0.190476190
manhattan	by	a	0.666666667
tax	year	the	0.076923077
not	told	that	0.122807018
forward	the	first	0.037383178
warning	shots	into	0.500000000
which	sports	a	0.181818182
opening	check	in	1.000000000
are	approved	the	0.125000000
boy	then	ran	0.105263158
phone	wants	to	0.666666667
after	losing	a	0.061855670
per	usual	i	0.068965517
outstanding	except	the	1.000000000
how	better	to	0.500000000
seen	videos	of	1.000000000
weeks	feel	like	0.666666667
often	placed	on	0.500000000
normal	and	the	0.031818182
boy	like	you	0.176470588
when	waking	up	0.666666667
good	number	for	0.037037037
are	or	have	0.063157895
basketball	wore	me	1.000000000
same	source	said	0.080000000
stories	which	have	0.093750000
banks	declined	to	0.800000000
rt	ball	so	1.000000000
any	plans	on	0.058252427
title	win	over	0.333333333
vehicles	for	his	0.036363636
thats	okay	we	0.040229885
we	really	need	0.123923128
it	simple	and	0.142156863
models	that	are	0.055555556
drink	ticket	for	0.181818182
carter	who	was	0.161290323
union	finance	minister	0.666666667
from	bottom	to	0.285714286
usually	as	a	0.357142857
reason	foundation	a	0.500000000
seeking	out	the	0.119047619
am	horrible	at	0.800000000
will	put	the	0.080610022
work	during	the	0.493333333
risk	he	said	0.533333333
its	useful	to	0.214285714
shock	but	i	0.160000000
project	a	reality	0.029585799
where	smoking	is	0.666666667
government	shouldnt	tell	0.181818182
it	mind	the	0.400000000
earlier	when	it	0.107142857
were	seriously	in	0.050000000
earnings	analyst	at	1.000000000
ohio	who	is	0.114285714
green	room	to	0.052631579
blues	were	off	0.050000000
devices	need	to	0.666666667
best	talent	in	0.200000000
have	hand	picked	0.272727273
been	ok	but	0.117647059
was	killed	in	0.258019526
when	whole	foods	1.000000000
house	will	be	0.314049587
year	is	going	0.047910296
breaks	past	when	1.000000000
reason	ive	been	0.315789474
glory	several	times	1.000000000
lord	said	to	0.236363636
five	big	ten	0.200000000
when	public	health	0.117647059
more	savings	for	0.150000000
made	this	card	0.043057051
spokesman	also	declined	0.500000000
now	thats	what	0.068965517
any	updates	on	0.351351351
of	specific	things	0.032608696
we	humans	need	0.081632653
standing	status	and	1.000000000
two	off	the	0.217391304
athletic	director	tim	0.087071240
would	begin	in	0.047619048
conflict	up	to	1.000000000
changes	it	was	0.068181818
this	onto	my	0.333333333
with	resident	dj	0.428571429
wednesday	using	the	0.750000000
always	described	as	0.333333333
events	king	said	1.000000000
else	tired	of	0.800000000
parents	they	can	0.121951220
hard	a	couple	0.071428571
in	during	a	0.059829060
else	of	course	0.153846154
teach	participants	how	0.666666667
important	person	in	0.621621622
half	injury	time	0.800000000
two	offensive	rebounds	0.400000000
gone	hes	gone	0.800000000
after	noon	to	0.059701493
m	was	the	0.060606061
advanced	in	the	0.302325581
or	muslim	communities	0.133333333
the	mission	and	0.053406998
trial	will	be	0.307692308
the	continued	success	0.049180328
while	performing	the	0.100000000
game	really	take	0.153846154
mistake	as	the	0.074074074
even	fewer	have	0.073170732
ending	tax	breaks	0.500000000
strange	girl	who	0.250000000
everyone	lets	just	0.142857143
counts	domestic	violence	1.000000000
choose	for	your	0.063492063
away	literally	and	0.666666667
last	part	of	0.464000000
get	only	one	0.119047619
to	moore	who	0.333333333
blood	will	tell	0.111111111
state	back	on	0.176470588
jury	got	it	0.500000000
yet	not	a	0.062500000
band	during	the	0.333333333
comments	to	the	0.170886076
race	may	be	0.875000000
but	possibly	because	0.054054054
family	with	the	0.111111111
governor	wins	the	1.000000000
by	factors	such	0.363636364
friday	was	the	0.179687500
with	later	this	0.086956522
launch	another	round	0.166666667
first	election	since	0.285714286
effective	on	the	0.230769231
comfortable	about	the	0.153846154
create	industrial	marijuana	1.000000000
ur	youtube	videos	1.000000000
same	at	the	0.175438596
this	later	but	0.054545455
no	understanding	of	0.833333333
my	practice	time	0.050000000
another	themail	from	0.291666667
where	mine	is	0.333333333
end	result	of	0.109848485
storage	in	a	0.090909091
is	def	the	0.073684211
time	student	and	0.190476190
treat	customers	as	0.400000000
south	on	i	0.038167939
perhaps	such	a	0.333333333
jimmy	said	i	0.400000000
parents	say	they	0.106382979
up	leads	to	0.250000000
our	effort	in	0.066666667
how	ill	get	0.071428571
need	breast	cancer	0.666666667
septthember	i	think	0.093750000
also	puts	a	0.148148148
ring	wedding	ring	0.750000000
oh	lord	i	0.076923077
fault	he	said	0.176470588
dark	pants	with	0.250000000
fall	she	has	0.100000000
was	originally	scheduled	0.048387097
crowd	and	the	0.099099099
complete	as	i	0.086956522
back	tweet	me	0.800000000
previously	thought	in	0.046511628
street	it	is	0.090909091
with	shooting	at	0.095238095
american	communities	and	0.095238095
a	iphone	and	0.105263158
and	weve	had	0.079510703
your	doctor	if	0.055555556
given	more	than	0.224489796
provide	treatment	for	0.285714286
kinda	weird	how	0.058823529
this	double	chocolate	0.058823529
weekend	sethemed	to	0.750000000
a	dvd	of	0.145348837
necessary	that	the	0.138888889
doing	tonight	at	0.016528926
the	colorado	state	0.056722689
the	players	who	0.041891892
learned	we	have	0.181818182
use	different	tools	0.044444444
quite	cute	and	0.222222222
some	mental	health	0.181818182
other	and	we	0.026136364
doing	it	for	0.085992908
everyday	is	another	0.040322581
lets	win	some	0.051282051
decided	monday	when	0.333333333
nfl	start	and	0.250000000
dm	ur	fans	0.222222222
four	inches	and	0.064516129
happened	before	i	0.036363636
to	nearby	cities	0.029411765
third	rail	would	0.057142857
time	opening	for	0.222222222
pot	raise	the	1.000000000
our	everyday	existence	0.044444444
always	they	are	0.428571429
fresh	organic	and	0.117647059
